"","Overall"
"V66",7.09697347528001
"V396",6.60215012484542
"V67",6.55896583694863
"V20",6.39168710708548
"V61",6.00296656046721
"V146",5.88736883328866
"V100",5.82619704864648
"V399",5.77778486383201
"V475",5.41286741752829
"V149",5.40556763443628
"V445",5.36642928091222
"V274",5.30102353851229
"V271",5.28504938006107
"V376",5.27190337114293
"V195",5.23682855465925
"V6",5.20817909451265
"V515",5.19112469967136
"V320",5.17424215613657
"V29",5.15344872711903
"V25",5.04788335455138
"V114",4.93561782945558
"V42",4.86458781139937
"V30",4.8530448552958
"V250",4.79754067227445
"V97",4.78104404983594
"V270",4.76409782092436
"V145",4.76395869601772
"V77",4.75697720000924
"V78",4.74688963195952
"V4",4.73792807029723
"V395",4.71157340823867
"V125",4.69313374979184
"V31",4.64084515062378
"V325",4.63217161945239
"V405",4.62848060749336
"V64",4.56906810650692
"V500",4.49506214999056
"V117",4.47864970753225
"V510",4.47858318506792
"V403",4.46540603557975
"V326",4.44723153897022
"V69",4.42926833498126
"V201",4.42441862180277
"V280",4.4235314330129
"V83",4.41684487104324
"V519",4.3835711611939
"V200",4.38328705355088
"V514",4.37431850074874
"V428",4.26925466171406
"V455",4.26656157094308
"V116",4.24486019190781
"V53",4.21520029561997
"V512",4.20966841046534
"V310",4.19671639479797
"V155",4.16504280304191
"V375",4.15119934697304
"V47",4.14325330028778
"V443",4.14121323510838
"V411",4.05064232286891
"V314",4.05024848154469
"V57",4.04136567754448
"V73",4.0214891010058
"V8",4.0211278982955
"V131",3.97645358737506
"V81",3.90299611732722
"V26",3.85455038535996
"V435",3.83283470227393
"V65",3.83184149262993
"V279",3.83092702570897
"V99",3.81571212355282
"V465",3.81556060051082
"V75",3.80801988558487
"V63",3.7935528663596
"V193",3.78247672976998
"V461",3.77796518169279
"V96",3.77779585389898
"V302",3.77730511068257
"V400",3.77373512800342
"V101",3.75981366591444
"V282",3.75435080636238
"V15",3.74408866876013
"V303",3.73307529636425
"V113",3.71809745724432
"V256",3.69399898789046
"V329",3.68671339417772
"V381",3.68545644497746
"V524",3.6850089846742
"V178",3.67613894180241
"V34",3.6702336862997
"V337",3.65775438530388
"V284",3.62778101117975
"V404",3.62728634507061
"V208",3.61196872242757
"V333",3.58986517872067
"V387",3.5882025653373
"V110",3.57989183778834
"V318",3.56879864235565
"V316",3.56641340053678
"V520",3.5590014943034
"V315",3.55825326672751
