Pivot Field Names,Avg. Pivot Field Values
589,99.73649467
588,0.005259508
587,0.016391792
586,0.021444733
585,3.063023461
584,0.003841176
583,0.015290356
582,0.500053488
581,98.44283717
580,0.005372077
579,0.016720942
578,0.021568761
577,16.80752919
576,5.692230144
575,0.105681955
574,9.411390909
573,0.349071907
572,29.19163965
571,2.103255434
570,530.5313483
569,20.98106425
568,2.447583031
567,0.059700494
566,2.610091763
565,0.144655107
564,6.434481054
563,0.680179901
562,262.8255634
561,32.1521619
560,0.072167647
559,0.32441409
558,0.994491245
557,1.591205815
556,4.199779525
555,57.51724513
554,0.493476904
553,7.672856593
552,0.276316708
551,1.207575758
550,16.94230139
549,0.662485012
548,75.67141196
547,403.4817183
546,1.041038165
545,7.627522861
544,0.002507461
543,0.008491855
542,0.111245654
541,9.592416151
540,1.941720206
539,3.039889897
538,0
537,0
536,0
535,0
534,0
533,0
532,0
531,0
530,0
529,0
528,0
527,6.400965072
526,1.448959057
525,5.548502919
524,5.719931169
523,0.46539501
522,14.70296801
521,10.60073001
520,2.684309911
519,11.39332446
518,1.815361272
517,1.763961272
516,0.704780925
515,0
514,0
513,0
512,0
511,271.1498482
510,54.44059138
509,0
508,0
507,0
506,0
505,0
504,0
503,0
502,0
501,0
500,239.7205578
499,265.7990736
498,0
497,11.78714211
496,29.90904232
495,6.810894737
494,0.894409843
493,2.525005058
492,8.188857674
491,2.438084493
490,51.38633933
489,270.9838826
488,355.7592911
487,240.2758034
486,300.5426724
485,202.926209
484,217.7963202
483,207.8032427
482,319.1155559
481,0
480,75.64863192
479,3.255356349
478,0.13726836
477,6.105093548
476,20.01823466
475,4.231559643
474,37.53895165
473,39.36983585
472,137.8728645
471,9.476705079
470,5.31685175
469,5.617964036
468,227.5908795
467,6.167931507
466,0
465,0
464,0
463,0
462,0
461,0
460,28.98199001
459,2.836063748
458,0
457,5.273763475
456,12.3238169
455,3.622554104
454,7.910945486
453,5.485977155
452,5.365711765
451,0
450,0
449,0
448,0.332493365
447,0.28223632
446,1.173051163
445,0.645668331
444,0.895321204
443,0.632533995
442,1.347612791
441,0.800447674
440,11.53886135
439,70.85070185
438,54.55996416
437,3.986853899
436,6.532943023
435,8.376003762
434,13.71923735
433,202.6575109
432,99.21857818
431,21.19122066
430,17.36844986
429,4.171371224
428,4.295597387
427,4.057891918
426,1.228399315
425,6.710385342
424,3.35404774
423,77.24380843
422,0
421,4.184106366
420,1.815571184
419,307.8241862
418,322.5749664
417,8.237010815
416,3.416029092
415,6.651149068
414,0
413,25.69354058
412,30.86998896
411,2.609100621
410,4.912671723
409,4.574106795
408,5.359734294
407,1.229932165
406,6.713319588
405,0.024244536
404,0
403,0
402,0
401,0
400,0
399,0
398,0
397,0
396,0
395,0
394,0
393,0.134023787
392,0.004549556
391,0.010949062
390,1.468733766
389,0.001371018
388,35.06453274
387,0.000251059
386,0.00824689
385,0.011244942
384,1.293967437
383,0.54884605
382,0.001889788
381,0
380,0
379,0
378,0
377,0.001575086
376,0.001597878
375,0
374,0
373,0
372,0
371,0
370,0
369,0
368,0.003166644
367,0.003775498
366,0.004805886
365,0.00515948
364,0
363,332.2118512
362,0.018306016
361,39.95900451
360,0.002739029
359,0.019777033
358,0.002443721
357,0.000996968
356,1.299650342
355,0.034489229
354,0.04194517
353,0.040409729
352,0.02343287
351,0.027299861
350,0.023189993
349,0.025123697
348,0.024290688
347,0.00955024
346,5.786559574
345,7.975312908
344,23.27191304
343,6.154236239
342,0.000306932
341,2.683375909
340,12.25486994
339,9.280361839
338,3.027278984
337,2.303194162
336,9.65645831
335,3.373622443
334,0.166480645
333,6.171586479
332,2.541108516
331,0.082644863
330,0
329,0
328,0
327,0
326,0
325,0
324,13.26220547
323,5.389573735
322,0
321,2.269245144
320,0.043077018
319,7.885228523
318,3.200332969
317,0.173395554
316,6.001260739
