Pivot Field Names,Avg. Pivot Field Values
589,98.7362375
588,0.005618269
587,0.017643269
586,0.021650962
585,3.135344231
584,0.003922115
583,0.015702885
582,0.500696154
581,91.45992889
580,0.0057
579,0.018211111
578,0.022197778
577,14.31891731
576,3.756327885
575,0.091325962
574,5.6584875
573,0.297308654
572,18.01961346
571,2.081873077
570,530.4149558
569,23.1907275
568,2.52577125
567,0.0659425
566,2.62267375
565,0.1600925
564,6.604375
563,0.67145875
562,261.2747
561,34.15173365
560,0.076320192
559,0.3439
558,1.002286538
557,2.075467442
556,4.460039535
555,61.00195116
554,0.648197674
553,8.14424186
552,0.281959302
551,1.559186047
550,18.02151163
549,0.674209302
548,75.79997674
547,404.465907
546,1.01964186
545,7.384951923
544,0.002533654
543,0.008175962
542,0.110685577
541,9.880410577
540,1.958327885
539,2.955119231
538,0
537,0
536,0
535,0
534,0
533,0
532,0
531,0
530,0
529,0
528,0
527,6.321891346
526,1.366065385
525,5.724975
524,5.235524038
523,0.292142308
522,15.09317981
521,25.8089125
520,2.8604375
519,15.41470986
518,1.649043333
517,1.30538
516,0.23112
515,0
514,0
513,0
512,0
511,343.8261692
510,74.34794904
509,0
508,0
507,0
506,0
505,0
504,0
503,0
502,0
501,0
500,258.6934606
499,226.6257798
498,0
497,12.28591845
496,29.27400194
495,6.764652885
494,1.829067308
493,2.600964423
492,7.820790909
491,2.506693269
490,50.90006442
489,288.5774173
488,309.1308077
487,228.1027606
486,329.6744106
485,176.0055971
484,180.5955962
483,189.4200788
482,308.7728942
481,0
480,73.99005481
479,3.676194231
478,0
477,8.398981731
476,21.72812981
475,4.697063462
474,39.01042308
473,40.22500385
472,138.1059827
471,11.90963942
470,6.080841346
469,6.283320192
468,176.3233952
467,7.445026214
466,0
465,0
464,0
463,0
462,0
461,0
460,32.22577212
459,2.870943269
458,0
457,5.121714423
456,12.35195192
455,3.834556731
454,7.501317308
453,5.109446154
452,5.081178846
451,0
450,0
449,0
448,0.329131731
447,0.277101923
446,1.202444231
445,0.667074038
444,0.891128846
443,0.653721154
442,1.312165385
441,0.825041346
440,11.35281165
439,67.70915728
438,56.70367573
437,4.441639806
436,21.4281466
435,23.48906893
434,29.13689029
433,246.1401019
432,101.4833379
431,38.92410291
430,33.37019806
429,4.178489423
428,3.164128155
427,4.067049038
426,1.310483654
425,8.002597115
424,2.773875962
423,83.50939519
422,0
421,4.039902885
420,1.901197115
419,326.4403558
418,287.7276673
417,7.543214423
416,3.241045192
415,6.344533654
414,0
413,24.48621923
412,31.48711827
411,2.713416346
