,chi_squared,random_forest_importance,gain_ratio,information_gain,oneR,symmetrical_uncertainty
V4,0,0.182079754286402,0,0,0.258198498748958,0
V5,0,0.20837202253067,0,0,0.258198498748958,0
V6,0,1.19106829830472,0,0,0.258198498748958,0
V7,0,-0.969016562736176,0,0,0.258198498748958,0
V8,0,-1.05334842158262,0,0,0.258198498748958,0
V9,0,0,0,0,0.258198498748958,0
V10,0,0.473944199621559,0,0,0.258198498748958,0
V11,0,2.5653425684362,0,0,0.258198498748958,0
V12,0,0.241458752058753,0,0,0.258198498748958,0
V13,0,-0.580227095720077,0,0,0.258198498748958,0
V14,0,0.463316853713054,0,0,0.258198498748958,0
V15,0,1.61888690306322,0,0,0.258198498748958,0
V16,0,2.23051903835876,0,0,0.258198498748958,0
V17,0,0,0,0,0.258198498748958,0
V18,0,2.25265899761912,0,0,0.258198498748958,0
V19,0,-0.688899586402643,0,0,0.258198498748958,0
V20,0,6.09888877025932,0,0,0.258198498748958,0
V21,0,1.34238031810576,0,0,0.258198498748958,0
V22,0,1.46480002060947,0,0,0.258198498748958,0
V23,0,-1.75703364660597,0,0,0.258198498748958,0
V24,0,1.02955846295756,0,0,0.258198498748958,0
V25,0,2.68787573706078,0,0,0.258198498748958,0
V26,0,2.77014810993257,0,0,0.258198498748958,0
V27,0,0.196852286297238,0,0,0.258198498748958,0
V28,0,1.75518255220296,0,0,0.258198498748958,0
V29,0,3.21078658732827,0,0,0.258198498748958,0
V30,0,4.51031811157325,0,0,0.258198498748958,0
V31,0,4.14766530544086,0,0,0.258198498748958,0
V32,0,3.41556758132576,0,0,0.258198498748958,0
V33,0,1.84380917253964,0,0,0.258198498748958,0
V34,0,2.91255913709921,0,0,0.258198498748958,0
V35,0,-0.303421395814697,0,0,0.258198498748958,0
V36,0,-0.793487059949247,0,0,0.258198498748958,0
V37,0.109677978140626,1.03078971078225,0.018573860617295,0.008670700153098,0.235919552243512,0.024115030961131
V38,0,1.60615299226977,0,0,0.258198498748958,0
V39,0,-1.20591329643117,0,0,0.258198498748958,0
V40,0,-0.444755715913318,0,0,0.258198498748958,0
V41,0,1.18884811037479,0,0,0.258198498748958,0
V42,0,5.24904251925537,0,0,0.258198498748958,0
V43,0,0.183039824546159,0,0,0.258198498748958,0
V44,0,0,0,0,0.258198498748958,0
V45,0,1.59591199683028,0,0,0.258198498748958,0
V46,0,0.134292527438247,0,0,0.258198498748958,0
V47,0,1.85464361722104,0,0,0.258198498748958,0
