,RESULTS,TIMESTAMP,V60,V65,V66,V206,V342,INDEX,m,d,h
0,-1,2008-07-19 11:55:00,-1.7264,21.7264,29.5367,8.64,2.8551,0,6,5,11
1,-1,2008-07-19 12:32:00,0.8073,19.1927,27.6301,8.96,2.4278,1,6,5,12
2,1,2008-07-19 13:17:00,23.8245,16.1755,24.2829,13.3,3.7663,2,6,5,13
3,-1,2008-07-19 14:43:00,24.3791,15.6209,23.4736,9.56,3.0229,3,6,5,14
4,-1,2008-07-19 15:22:00,-12.2945,32.2945,44.1498,9.09,3.0939,4,6,5,15
5,-1,2008-07-19 17:53:00,28.2955,11.7045,18.3685,12.32,3.7242,5,6,5,17
6,-1,2008-07-19 19:44:00,2.1109,17.8891,26.2754,13.41,4.1816,6,6,5,19
7,-1,2008-07-19 19:45:00,29.1309,10.8691,15.3094,17.14,4.958,7,6,5,19
8,-1,2008-07-19 20:24:00,26.9791,13.0209,19.9475,7.18,2.7826,8,6,5,20
9,-1,2008-07-19 21:35:00,28.3118,11.6882,18.1525,24.97,6.2758,9,6,5,21
10,1,2008-07-19 21:57:00,27.8373,12.1627,16.9061,12.79,3.27,10,6,5,21
11,1,2008-07-19 22:52:00,25.0836,14.9164,21.6833,12.1,3.9784,11,6,5,22
12,-1,2008-07-20 03:35:00,22.6227,17.3773,25.5177,6.45,1.955,12,6,6,3
13,-1,2008-07-21 08:21:00,-1.1927,21.1927,24.2607,6.34,1.9278,13,6,0,8
14,1,2008-07-21 11:53:00,17.6382,22.3618,28.1392,7.65,2.4251,14,6,0,11
15,-1,2008-07-22 00:03:00,20.4209,19.5791,24.8005,12.13,3.6206,15,6,1,0
16,-1,2008-07-22 02:59:00,-8.1182,28.1182,37.6915,6.23,2.049,16,6,1,2
17,-1,2008-07-22 08:41:00,-5.5327,25.5327,34.0855,6.54,2.1292,17,6,1,8
18,-1,2008-07-22 11:47:00,0.4836,19.5164,26.2174,5.95,1.8126,18,6,1,11
19,-1,2008-07-22 14:00:00,22.4736,17.5264,22.8371,27.08,7.5898,19,6,1,14
20,-1,2008-07-22 15:30:00,3.97,16.03,22.4489,9.29,3.0877,20,6,1,15
21,-1,2008-07-23 05:15:00,0.12,19.88,27.2876,8.33,2.9003,21,6,2,5
22,-1,2008-07-23 19:22:00,-3.6564,23.6564,31.9128,6.93,2.2724,22,6,2,19
23,1,2008-07-25 15:23:00,18.3936,21.6064,29.3176,6.28,1.9061,23,6,4,15
24,-1,2008-07-27 04:18:00,15.3536,24.6464,33.5962,6.14,1.9869999999999999,24,6,6,4
25,-1,2008-07-27 09:37:00,2.9964,17.0036,24.7224,10.08,2.7998,25,6,6,9
26,-1,2008-07-27 11:10:00,-6.9155,26.9155,34.5361,3.24,1.0309,26,6,6,11
27,-1,2008-07-27 15:46:00,17.3873,22.6127,27.4102,8.26,2.4997,27,6,6,15
28,-1,2008-07-27 16:06:00,13.1136,26.8864,37.2145,8.32,2.3546,28,6,6,16
29,-1,2008-07-27 16:49:00,14.7073,25.2927,31.4769,9.1,2.9321,29,6,6,16
30,-1,2008-07-27 20:24:00,29.5109,10.4891,16.8198,5.88,1.6795,30,6,6,20
31,-1,2008-07-27 22:28:00,13.1482,26.8518,33.6192,6.98,2.1644,31,6,6,22
32,-1,2008-07-27 22:28:00,-3.3864,23.3864,30.6289,8.04,2.6986,32,6,6,22
33,-1,2008-07-27 23:14:00,4.4036,15.5964,21.199,6.8,2.1024,33,6,6,23
34,-1,2008-07-28 03:31:00,17.5473,22.4527,32.0705,6.38,1.9537,34,6,0,3
35,-1,2008-07-28 03:48:00,-10.1245,30.1245,39.5532,6.59,2.3304,35,6,0,3
36,-1,2008-07-28 04:37:00,13.9782,26.0218,31.3313,8.67,2.7344,36,6,0,4
37,-1,2008-07-28 05:36:00,13.4891,26.5109,32.8848,10.38,2.9765,37,6,0,5
38,1,2008-07-28 06:45:00,24.9027,15.0973,22.6227,9.93,3.1546,38,6,0,6
39,-1,2008-07-28 08:36:00,23.4736,16.5264,24.3206,3.92,1.2161,39,6,0,8
40,1,2008-07-28 15:11:00,15.1509,24.8491,30.1427,7.37,2.4526,40,6,0,15
41,-1,2008-07-28 23:57:00,-2.6636,22.6636,30.0241,6.0,1.9726,41,6,0,23
42,-1,2008-07-29 04:08:00,-2.4636,22.4636,30.3538,5.09,1.6958,42,6,1,4
43,-1,2008-07-29 05:16:00,19.3136,20.6864,29.3844,10.13,3.2591,43,6,1,5
