,RESULTS,TIMESTAMP,V17,V26,V60,V65,V66,INDEX,m,d,h
0,-1,2008-07-19 11:55:00,10.0433,0.8955,-1.7264,21.7264,29.5367,0,6,5,11
1,-1,2008-07-19 12:32:00,9.2599,1.2973,0.8073,19.1927,27.6301,1,6,5,12
2,1,2008-07-19 13:17:00,9.3144,1.3122,23.8245,16.1755,24.2829,2,6,5,13
3,-1,2008-07-19 14:43:00,9.6924,1.3137,24.3791,15.6209,23.4736,3,6,5,14
4,-1,2008-07-19 15:22:00,10.3387,1.2887,-12.2945,32.2945,44.1498,4,6,5,15
5,-1,2008-07-19 17:53:00,9.2441,0.893,28.2955,11.7045,18.3685,5,6,5,17
6,-1,2008-07-19 19:44:00,9.999,0.9063,2.1109,17.8891,26.2754,6,6,5,19
7,-1,2008-07-19 19:45:00,9.6836,1.328,29.1309,10.8691,15.3094,7,6,5,19
8,-1,2008-07-19 20:24:00,9.7046,0.6829999999999999,26.9791,13.0209,19.9475,8,6,5,20
9,-1,2008-07-19 21:35:00,9.7046,0.9002,28.3118,11.6882,18.1525,9,6,5,21
10,1,2008-07-19 21:57:00,10.2918,0.455,27.8373,12.1627,16.9061,10,6,5,21
11,1,2008-07-19 22:52:00,10.113,0.9025,25.0836,14.9164,21.6833,11,6,5,22
12,-1,2008-07-20 03:35:00,9.5007,1.3045,22.6227,17.3773,25.5177,12,6,6,3
13,-1,2008-07-21 08:21:00,10.4109,0.898,-1.1927,21.1927,24.2607,13,6,0,8
14,1,2008-07-21 11:53:00,9.7825,0.2328,17.6382,22.3618,28.1392,14,6,0,11
15,-1,2008-07-22 00:03:00,9.5917,0.4495,20.4209,19.5791,24.8005,15,6,1,0
16,-1,2008-07-22 02:59:00,9.1999,1.2745,-8.1182,28.1182,37.6915,16,6,1,2
17,-1,2008-07-22 08:41:00,9.4147,0.9333,-5.5327,25.5327,34.0855,17,6,1,8
18,-1,2008-07-22 11:47:00,9.847000000000001,1.3330000000000002,0.4836,19.5164,26.2174,18,6,1,11
19,-1,2008-07-22 14:00:00,10.1924,1.318,22.4736,17.5264,22.8371,19,6,1,14
20,-1,2008-07-22 15:30:00,9.7659,1.304,3.97,16.03,22.4489,20,6,1,15
21,-1,2008-07-23 05:15:00,10.3503,1.31,0.12,19.88,27.2876,21,6,2,5
22,-1,2008-07-23 19:22:00,10.3647,1.3122,-3.6564,23.6564,31.9128,22,6,2,19
23,1,2008-07-25 15:23:00,8.8407,0.4425,18.3936,21.6064,29.3176,23,6,4,15
24,-1,2008-07-27 04:18:00,9.5066,0.44299999999999995,15.3536,24.6464,33.5962,24,6,6,4
25,-1,2008-07-27 09:37:00,9.747,0.4515,2.9964,17.0036,24.7224,25,6,6,9
26,-1,2008-07-27 11:10:00,9.8198,1.2977,-6.9155,26.9155,34.5361,26,6,6,11
27,-1,2008-07-27 15:46:00,10.215,1.3125,17.3873,22.6127,27.4102,27,6,6,15
28,-1,2008-07-27 16:06:00,9.7745,0.8902,13.1136,26.8864,37.2145,28,6,6,16
29,-1,2008-07-27 16:49:00,8.6625,1.2905,14.7073,25.2927,31.4769,29,6,6,16
30,-1,2008-07-27 20:24:00,9.8631,1.2919999999999998,29.5109,10.4891,16.8198,30,6,6,20
31,-1,2008-07-27 22:28:00,9.75,1.2717,13.1482,26.8518,33.6192,31,6,6,22
32,-1,2008-07-27 22:28:00,9.7447,1.2803,-3.3864,23.3864,30.6289,32,6,6,22
33,-1,2008-07-27 23:14:00,9.672,0.446,4.4036,15.5964,21.199,33,6,6,23
34,-1,2008-07-28 03:31:00,9.6398,0.904,17.5473,22.4527,32.0705,34,6,0,3
35,-1,2008-07-28 03:48:00,10.4472,1.3195,-10.1245,30.1245,39.5532,35,6,0,3
36,-1,2008-07-28 04:37:00,10.499,0.22399999999999998,13.9782,26.0218,31.3313,36,6,0,4
37,-1,2008-07-28 05:36:00,9.4864,1.284,13.4891,26.5109,32.8848,37,6,0,5
38,1,2008-07-28 06:45:00,9.7739,1.338,24.9027,15.0973,22.6227,38,6,0,6
39,-1,2008-07-28 08:36:00,9.8035,1.2905,23.4736,16.5264,24.3206,39,6,0,8
40,1,2008-07-28 15:11:00,9.5543,1.2542,15.1509,24.8491,30.1427,40,6,0,15
41,-1,2008-07-28 23:57:00,10.0255,1.2973,-2.6636,22.6636,30.0241,41,6,0,23
42,-1,2008-07-29 04:08:00,10.0005,1.247,-2.4636,22.4636,30.3538,42,6,1,4
43,-1,2008-07-29 05:16:00,10.193999999999999,1.2908,19.3136,20.6864,29.3844,43,6,1,5
44,-1,2008-07-29 06:19:00,10.1081,0.6727,8.3045,31.6955,41.5512,44,6,1,6
45,1,2008-07-29 08:23:00,10.0934,1.3072,5.03,34.97,38.8982,45,6,1,8
46,-1,2008-07-29 11:47:00,10.6454,0.4397,12.0945,27.9055,36.6103,46,6,1,11
47,-1,2008-07-29 15:41:00,9.7465,0.6679999999999999,23.1373,16.8627,22.3489,47,6,1,15
48,1,2008-07-29 15:49:00,9.7807,1.2890000000000001,25.0382,14.9618,20.2052,48,6,1,15
49,1,2008-07-29 17:05:00,10.2702,1.2922,23.3109,16.6891,20.8271,49,6,1,17
50,1,2008-07-29 18:08:00,10.0409,1.2688,23.9555,16.0445,21.1546,50,6,1,18
51,-1,2008-07-29 21:07:00,10.2057,0.4373,21.39,18.61,26.658,51,6,1,21
52,-1,2008-07-29 23:14:00,10.7124,1.2853,1.5882,38.4118,46.7625,52,6,1,23
53,-1,2008-07-29 23:19:00,10.6441,1.3265,0.6782,19.3218,27.7301,53,6,1,23
54,-1,2008-07-30 06:30:00,10.3876,0.652,20.0455,19.9545,26.3171,54,6,2,6
55,-1,2008-07-30 07:08:00,10.2718,1.2692,21.8964,18.1036,23.5885,55,6,2,7
56,-1,2008-07-30 12:02:00,10.68,1.2842,22.8809,17.1191,23.0468,56,6,2,12
57,1,2008-07-30 12:29:00,9.9522,0.2253,2.5209,37.4791,46.2635,57,6,2,12
58,1,2008-07-30 21:16:00,11.0203,0.6557,15.9527,24.0473,30.4154,58,6,2,21
59,-1,2008-07-31 13:57:00,10.6095,1.2945,-1.6545,21.6545,29.9145,59,6,3,13
60,-1,2008-07-31 15:36:00,9.932,1.3152,6.7391,33.2609,39.586999999999996,60,6,3,15
61,-1,2008-07-31 17:07:00,9.1397,0.4385,13.8118,26.1882,36.5543,61,6,3,17
62,1,2008-07-31 20:18:00,9.1557,1.298,18.3209,21.6791,29.9815,62,6,3,20
63,-1,2008-01-08 02:02:00,8.8833,1.2418,16.4582,23.5418,32.3378,63,0,1,2
64,1,2008-01-08 05:52:00,9.1136,1.3090000000000002,9.05,30.95,39.683,64,0,1,5
65,-1,2008-01-08 10:20:00,9.708,1.2335,18.8309,21.1691,29.5773,65,0,1,10
66,-1,2008-01-08 10:26:00,9.0959,1.2997,18.2809,21.7191,29.8969,66,0,1,10
67,-1,2008-01-08 11:28:00,9.118,1.2715,19.8,20.2,28.6955,67,0,1,11
68,-1,2008-01-08 12:29:00,9.7637,1.2857,11.6818,28.3182,38.8044,68,0,1,12
69,-1,2008-01-08 14:07:00,9.3711,1.3035,22.4345,17.5655,25.4333,69,0,1,14
70,-1,2008-01-08 15:10:00,9.3955,1.2833,17.1627,22.8373,28.6681,70,0,1,15
71,-1,2008-02-08 03:39:00,9.8426,1.2930000000000001,25.4573,14.5427,20.874000000000002,71,1,4,3
72,-1,2008-03-08 13:09:00,10.1235,0.441,20.5509,19.4491,24.9395,72,2,5,13
73,-1,2008-03-08 14:06:00,10.5025,1.2993,18.6827,21.3173,28.9468,73,2,5,14
74,-1,2008-03-08 14:25:00,9.902000000000001,0.9625,25.4427,14.5573,22.6504,74,2,5,14
75,-1,2008-03-08 15:03:00,10.1394,1.2645,17.6373,22.3627,31.3539,75,2,5,15
76,-1,2008-03-08 15:27:00,9.946,0.9688,24.3509,15.6491,23.1757,76,2,5,15
77,-1,2008-03-08 16:00:00,9.9707,1.281,12.0627,27.9373,38.0327,77,2,5,16
78,-1,2008-03-08 17:00:00,10.0926,0.8933,9.5227,30.4773,40.9448,78,2,5,17
79,-1,2008-03-08 17:58:00,9.4946,1.2503,22.9245,17.0755,22.9914,79,2,5,17
80,-1,2008-03-08 20:23:00,10.3558,1.2515,9.3336,30.6664,41.5043,80,2,5,20
81,-1,2008-03-08 22:52:00,8.8623,1.3255,12.5391,27.4609,37.4506,81,2,5,22
82,1,2008-04-08 00:39:00,9.6496,1.3057,12.4309,27.5691,37.4995,82,3,1,0
83,-1,2008-04-08 03:45:00,8.9623,0.9725,28.6355,11.3645,18.6261,83,3,1,3
84,-1,2008-04-08 03:49:00,10.204,0.6565,8.6927,31.3073,42.1115,84,3,1,3
85,-1,2008-04-08 13:19:00,9.9919,1.2955,-5.3055,25.3055,31.4125,85,3,1,13
86,-1,2008-04-08 14:04:00,10.3618,1.2847,-8.7491,28.7491,35.3973,86,3,1,14
87,-1,2008-04-08 14:31:00,10.1496,0.9740000000000001,26.6582,13.3418,17.0797,87,3,1,14
88,-1,2008-04-08 15:29:00,10.17,1.329,28.7064,11.2936,15.0708,88,3,1,15
89,-1,2008-04-08 16:15:00,9.4636,1.2697,-8.2255,28.2255,37.532,89,3,1,16
90,-1,2008-04-08 16:31:00,10.1361,0.9835,28.1191,11.8809,18.6476,90,3,1,16
91,-1,2008-04-08 17:11:00,10.0685,0.4525,8.6673,11.3327,18.5853,91,3,1,17
92,-1,2008-04-08 17:46:00,9.9865,1.2893,3.8509,16.1491,21.2791,92,3,1,17
93,-1,2008-04-08 18:24:00,9.3991,0.6873,-15.1964,35.1964,38.7128,93,3,1,18
94,-1,2008-04-08 19:58:00,10.1871,1.2717,-6.4836,26.4836,34.5138,94,3,1,19
95,-1,2008-04-08 20:32:00,10.0165,1.351,-11.2182,31.2182,39.6995,95,3,1,20
96,1,2008-04-08 20:58:00,10.1679,0.43799999999999994,11.5591,28.4409,39.2802,96,3,1,20
